Note author: ONLY [N]T has 1 allocs, it's okey, SEE performance recommendations in func's description or in utils/README.md

goos: darwin
goarch: arm64
pkg: github.com/lif0/pkg/utils/reflect
cpu: Apple M2
BenchmarkEstimatePayloadOf/*[100]*uintptr{nil}-8  	        336576622	         3.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/float32-8              	        495846680	         2.428 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*float32-8             	        446611058	         2.711 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]float32-8            	        469571750	         2.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]float32-8           	        451008213	         2.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*float32-8           	        31423141	         38.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*float32-8          	        31958950	         38.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]float32-8         	        99987850	         12.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]float32-8        	        100000000	         10.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*float32-8        	        30951466	         39.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*float32-8       	        32453336	         37.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]float32{nil}-8       	        499624068	         2.810 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]float32{nil}-8      	        437857459	         2.750 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*float32{nil}-8      	        456539354	         2.631 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*float32{nil}-8     	        473617704	         2.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]float32{nil}-8    	        93567856	         12.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]float32{nil}-8   	        356511357	         3.283 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*float32{nil}-8   	         4591540	         258.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*float32{nil}-8  	        338628558	         3.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/float64-8              	        494261758	         2.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*float64-8             	        418262077	         2.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]float64-8            	        441388171	         2.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]float64-8           	        487433439	         2.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*float64-8           	        31438885	         38.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*float64-8          	        30912332	         38.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]float64-8         	        62324847	         21.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]float64-8        	        100000000	         10.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*float64-8        	        29160954	         39.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*float64-8       	        31106180	         39.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]float64{nil}-8       	        466811334	         2.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]float64{nil}-8      	        497880204	         2.378 ns/op	       0 B/op	       0 allocs/op
